company,category
CME,金融
AMG,金融
AMP,金融
BEN,金融
BLK,金融
CBOE,金融
GS,金融
ICE,金融
IVZ,金融
MCO,金融
T,通讯业务
VZ,通讯业务
ATVI,通讯业务
DIS,通讯业务
EA,通讯业务
NFLX,通讯业务
CCI,通讯业务
QCOM,通讯业务
SBAC,通讯业务
CHTR,通讯业务
ACN,工业
NLSN,工业
PAYX,工业
RHI,工业
ROK,工业
ALLE,工业
AVY,工业
CTAS,工业
JCI,工业
RSG,工业
ABBV,医疗保健
BMY,医疗保健
CAH,医疗保健
JNJ,医疗保健
LLY,医疗保健
MRK,医疗保健
PFE,医疗保健
PRGO,医疗保健
REGN,医疗保健
VRTX,医疗保健
IP,原材料
WY,原材料
PKG,原材料
WRK,原材料
FCX,原材料
NEM,原材料
NUE,原材料
MLM,原材料
VMC,原材料
ALB,原材料
KO,日常消费品
MNST,日常消费品
PEP,日常消费品
STZ,日常消费品
TAP,日常消费品
MO,日常消费品
PM,日常消费品
CVS,日常消费品
KR,日常消费品
SYY,日常消费品
ADP,信息技术
AKAM,信息技术
CRM,信息技术
CTSH,信息技术
DXC,信息技术
EFX,信息技术
EQIX,信息技术
FIS,信息技术
FISV,信息技术
HPE,信息技术
AWK,公用事业
CNP,公用事业
NI,公用事业
PCG,公用事业
CMS,公用事业
ED,公用事业
LNT,公用事业
WEC,公用事业
DUK,公用事业
NRG,公用事业
APA,能源
CHK,能源
COP,能源
CVX,能源
DVN,能源
EOG,能源
EQT,能源
HES,能源
KMI,能源
MPC,能源
AIV,房地产
AMT,房地产
ARE,房地产
AVB,房地产
BXP,房地产
DLR,房地产
DRE,房地产
EQR,房地产
ESS,房地产
EXR,房地产
